;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31);Paired (n=31)
-4;97,73689;114,4026;126,952;;99,9569;99,04429;98,19769;98,28538;100,0174;86,12652;98,25483;92,59259;108,4906;103,5387;;;;;;;;;;;;;;;;;;73,53952;102,6919;96,45654;85,66272;107,6699;97,33994;85,59493;104,8626;102,0372;90,86916;94,9845;92,38581;104,3065;100,3238;87,14573;98,1272;102,5194;97,63571;101,7841;103,6507;107,6374;95,34368;95,63164;94,31138;96,77419;112,3482;106,2176;96,77419;112,3482;106,2176;102,4845
-3;103,1831;106,6892;100,1011;;102,0598;96,77252;102,2981;101,2547;91,68354;108,5787;101,6747;85,18519;112,2642;100,2621;;;;;;;;;;;;;;;;;;102,0118;102,3708;94,239;91,95521;91,2195;96,4413;90,33861;97,42497;98,92234;96,75258;94,54897;99,12878;98,93756;98,21972;98,91275;100,5722;111,0768;99,29248;81,85801;93,12501;97,39908;117,5166;92,08973;95,80838;90,05376;91,09312;101,0363;90,05376;91,09312;101,0363;93,1677
-2;97,69476;87,54705;114,5052;;94,88198;96,88418;96,27;112,4123;90,08329;89,27282;102,354;105,5556;83,01887;102,8834;;;;;;;;;;;;;;;;;;93,45745;99,01114;101,1146;91,58223;109,6235;100,8717;95,98745;92,9116;106,1542;98,82725;101,0753;102,0729;100,7999;104,4869;102,2904;96,26833;94,24614;99,25268;97,79249;94,14187;99,87268;95,34368;102,7155;89,82036;104,8387;97,16599;129,5337;104,8387;97,16599;129,5337;109,7308
-1;105,7496;91,83145;85,1869;;97,88927;103,6158;103,6174;93,6244;105,1237;105,4397;100,046;100;104,717;97,64089;;;;;;;;;;;;;;;;;;121,7633;94,04144;104,6182;121,6995;96,13751;101,1319;104,4729;102,6164;98,18987;108,7779;102,6709;103,7423;97,46801;96,69905;104,1457;99,47047;93,98414;101,1879;107,207;104,1138;95,2363;96,45233;103,3058;102,0459;98,11828;97,16599;82,90155;98,11828;97,16599;82,90155;97,30849
0;95,6356;99,52971;73,25487;;105,212;103,6832;99,61684;94,42318;113,0921;110,5822;97,67045;116,6667;91,50943;95,67497;;;;;;;;;;;;;;;;;;109,2279;101,8847;103,5716;109,1003;95,3496;104,2152;123,6062;102,1844;94,69636;104,7731;106,7203;102,6702;98,48798;100,2705;107,5054;105,5618;98,17352;102,6312;111,3583;104,9686;99,85456;95,34368;106,2574;118,014;110,2151;102,2267;80,31088;110,2151;102,2267;80,31088;97,30849
1;91,26348;116,3532;115,6728;;86,73629;109,0178;95,96582;106,3262;116,4221;101,4718;96,87968;94,44444;88,67925;127,7851;;;;;;;;;;;;;;;;;;119,347;95,54896;90,37702;96,24389;111,1416;99,14337;118,9534;105,8915;107,5709;101,5469;98,36887;92,30308;105,4309;96,86714;105,1413;97,32403;107,4657;111,379;119,9822;107,6163;100,6354;96,45233;110,3896;101,0479;106,1828;107,2874;103,6269;106,1828;107,2874;103,6269;126,294
2;93,79714;115,7969;91,26579;;91,66399;104,5588;107,61;103,128;110,3026;100,7936;100,166;111,1111;74,5283;104,194;;;;;;;;;;;;;;;;;;96,45438;106,1188;93,26188;116,9978;106,1084;103,1377;144,6816;128,9662;98,26078;108,4363;101,1614;102,9374;101,2208;92,0013;120,5579;102,3018;122,8864;93,49729;107,881;97,56399;97,2718;78,71397;103,8961;109,2814;102,1505;108,2996;142,487;102,1505;108,2996;142,487;123,1884
3;100,0902;112,7746;101,1784;;103,8942;96,72535;95,39862;106,4783;110,4653;92,95704;93,64395;105,5556;116,0377;121,232;;;;;;;;;;;;;;;;;;75,23974;109,7175;84,36085;112,4247;77,46149;94,33821;161,8168;149,9099;108,7683;113,7247;119,3315;99,84148;84,89466;97,21255;118,6334;131,9719;105,5033;98,4295;109,1048;105,0876;97,93463;80,93126;107,438;106,2874;118,2796;97,16599;150,2591;118,2796;97,16599;150,2591;104,5549
4;85,83238;115,5865;123,595;;84,74599;85,31941;103,4034;105,5651;106,1884;122,0382;99,3604;103,7037;97,16981;114,0236;;;;;;;;;;;;;;;;;;98,21461;102,3114;84,75046;96,4253;80,82808;101,9506;141,1718;156,4025;109,4292;115,2766;119,7193;101,7341;89,63352;80,26941;96,60327;94,83681;100,4339;97,18246;108,9653;107,8306;94,15445;86,4745;104,4864;103,7924;127,6882;105,2632;137,3057;127,6882;105,2632;137,3057;119,0476
5;97,8569;110,1744;90,09189;;77,75254;94,16345;95,8736;104,2071;118,0081;110,8729;95,25616;116,6667;109,434;123,1979;;;;;;;;;;;;;;;;;;124,0161;111,0224;94,96351;82,36445;86,40201;96,628;136,1577;179,5767;103,9974;118,3058;114,4639;100,8812;91,11683;83,98017;109,5032;109,9826;93,22028;94,05659;109,3024;101,4005;94,436;66,51885;103,3058;115,2695;104,8387;116,3968;132,1244;104,8387;116,3968;132,1244;92,13251
6;93,9391;120,1149;111,6573;;58,31965;92,82633;93,36215;87,52215;110,5753;119,9684;95,07112;107,4074;123,5849;91,74312;;;;;;;;;;;;;;;;;;121,0172;104,7639;84,74841;66,29022;64,16591;105,2626;158,6412;188,9307;96,97237;103,6299;121,011;101,9094;78,56025;78,02087;101,8094;98,9764;75,75699;103,2037;88,82303;100,9017;88,59993;92,01774;110,3896;115,2695;115,5914;117,4089;147,6684;115,5914;117,4089;147,6684;98,34369
7;94,16726;117,9163;115,432;;68,45823;86,4002;93,71188;110,4914;120,7675;122,09;97,27874;105,5556;95,28302;97,64089;;;;;;;;;;;;;;;;;;174,4327;112,2707;101,7741;72,57871;59,61395;105,8028;159,918;202,8688;112,6449;110,141;106,237;100,7757;86,14753;85,56516;82,10311;89,38056;78,88956;102,5014;103,6111;104,8821;99,3817;85,36585;108,6187;119,012;133,0645;113,3603;106,2176;133,0645;113,3603;106,2176;113,8716
8;90,95647;120,167;112,0038;;61,54844;103,2795;87,21494;109,2222;121,8975;119,3077;88,18718;125,9259;110,3774;110,7471;;;;;;;;;;;;;;;;;;148,9505;113,1879;113,2025;74,43048;65,55962;121,7014;136,3012;211,1127;115,3781;115,5002;124,2144;109,1338;74,42175;78,09859;78,90417;114,259;86,87249;105,8897;111,9169;99,30411;98,09627;89,80044;100,9445;108,5329;115,5914;110,3239;132,1244;115,5914;110,3239;132,1244;109,7308
9;93,44843;114,8092;96,90724;;69,7063;108,0779;94,08297;97,16516;124,2569;117,6885;96,28766;125,9259;95,28302;101,5727;;;;;;;;;;;;;;;;;;111,8358;89,90232;103,9464;94,17136;70,87561;118,661;169,2672;161,9002;106,3754;121,1545;125,1666;102,061;91,0344;88,96246;91,40773;114,2147;85,13137;101,9943;92,76719;98,6363;86,697;92,01774;102,7155;103,5429;116,9355;148,7854;170,9845;116,9355;148,7854;170,9845;128,3644
10;101,9158;122,2409;96,0191;;68,5215;115,8081;101,8755;98,53615;124,1591;110,4074;89,24003;96,2963;100,9434;98,2962;;;;;;;;;;;;;;;;;;100,0639;93,125;111,2783;80,5841;66,0823;112,3204;131,9131;124,9162;116,7152;105,513;127,6207;98,55948;88,57483;78,84032;88,23064;90,6816;99,90796;105,2585;94,67005;104,3059;87,72693;76,49667;109,209;101,7964;115,5914;120,4453;173,5751;115,5914;120,4453;173,5751;93,1677
11;101,1588;121,4456;119,3538;;63,01956;108,247;100,2964;104,7859;161,3574;136,1077;94,69383;140,7407;103,7736;112,713;;;;;;;;;;;;;;;;;;144,9995;89,33432;107,3509;69,1108;85,23027;120,7105;135,131;123,4109;124,3923;122,3416;119,5313;113,2291;88,45429;84,24542;94,06636;106,6969;93,23433;102,5843;109,0499;110,6819;90,85467;98,66962;138,7249;114,2715;125;127,5304;227,9793;125;127,5304;227,9793;114,9068
12;102,8022;132,3143;99,78737;;71,79995;109,3508;110,7323;102,3093;136,4408;140,2159;91,08237;137,037;101,8868;95,01966;;;;;;;;;;;;;;;;;;127,6953;79,29163;106,5844;78,11556;92,74676;130,3366;178,5386;136,6421;112,5802;116,6093;114,9899;122,1913;94,76749;86,52336;110,5538;99,89908;106,3884;107,7045;128,1504;103,7117;84,52025;149,6674;117,4734;94,81038;151,8817;139,6761;191,7098;151,8817;139,6761;191,7098;115,942
13;105,3226;129,2024;115,2015;;73,46078;104,0419;103,7165;114,1313;92,11581;172,4612;90,96363;131,4815;90,56604;93,70904;;;;;;;;;;;;;;;;;;125,5073;90,44828;103,0775;74,53721;116,9788;132,9482;153,8275;132,9089;105,4199;105,8491;125,803;115,5763;82,75294;79,08696;138,7118;92,83395;113,229;96,33149;127,1889;115,6799;100,9685;152,9933;119,8347;106,7864;143,8172;135,6275;215,0259;143,8172;135,6275;215,0259;109,7308
14;84,20037;133,5131;116,0715;;68,23508;96,20948;112,0277;96,95856;85,96432;136,3083;100,0386;142,5926;107,5472;106,1599;;;;;;;;;;;;;;;;;;168,2075;110,4093;89,64469;102,0102;118,7125;133,7711;178,4199;132,4115;111,362;102,5339;134,7102;123,63;83,09971;77,6918;131,9793;76,30262;119,5716;91,99043;125,1924;105,9978;91,11697;162,9712;113,3412;97,55489;104,8387;144,7368;209,8446;104,8387;144,7368;209,8446;114,9068
15;91,2136;119,1437;104,0455;;71,60206;96,66991;95,84852;85,05667;94,56844;126,0005;92,59492;153,7037;100;108,7811;;;;;;;;;;;;;;;;;;181,8684;99,60054;106,1372;97,24135;104,431;134,2914;211,7838;129,1783;110,6756;124,6151;121,7583;107,9091;74,8642;78,41725;115,2987;81,95058;122,208;87,68004;123,6882;113,1988;90,39957;208,4257;119,8347;114,022;102,1505;152,834;178,7565;102,1505;152,834;178,7565;91,09731
16;104,2323;133,1073;89,14573;;68,81097;91,18806;103,8343;90,32135;96,56685;116,2185;94,29718;159,2593;107,5472;94,36435;;;;;;;;;;;;;;;;;;200,3735;117,8735;99,71867;75,89092;120,244;142,5144;172,988;129,7647;115,2396;101,403;131,6705;101,3048;79,0794;77,92832;116,6146;78,53858;121,2131;77,51689;136,6299;116,2537;92,33158;175,1663;104,4864;98,55289;98,11828;165,9919;152,8497;98,11828;165,9919;152,8497;103,5197
17;99,02525;144,1762;108,2158;;71,2801;93,90107;97,20576;82,8243;82,51738;114,2763;102,1082;127,7778;105,6604;81,9135;;;;;;;;;;;;;;;;;;209,2501;114,4622;118,6155;95,0398;141,4857;141,9181;125,1149;142,7053;115,0481;100,7508;118,9144;86,05032;93,3118;78,60373;110,7293;92,67517;121,4963;71,73784;122,645;121,8614;98,61521;215,0776;115,7025;117,2655;111,5591;172,0648;225,3886;111,5591;172,0648;225,3886;89,02692
18;94,90586;140,5938;104,7898;;73,50826;90,63316;113,7446;96,59756;88,90194;108,2344;102,2655;150;86,79245;77,32634;;;;;;;;;;;;;;;;;;244,3714;106,9519;120,7018;109,6482;148,1054;147,6311;178,0177;145,9411;115,9224;99,62578;98,59839;78,2924;84,50769;76,8777;140,7069;82,93154;122,4736;78,48136;145,7068;118,1401;91,26993;195,122;108,6187;110,0299;95,43011;177,1255;150,2591;95,43011;177,1255;150,2591;86,95652
19;97,79973;127,4895;118,0316;;86,51944;88,3782;109,5817;89,11741;82,33226;95,31216;104,4707;150;83,96226;77,98165;;;;;;;;;;;;;;;;;;228,2555;96,67634;122,6334;110,2531;167,2315;158,1152;197,9127;140,569;125,8024;91,5859;107,0889;85,01682;77,00596;78,79136;110,562;75,96902;128,004;77,68314;130,3349;127,493;88,9525;167,4058;106,2574;123,503;114,2473;175,1012;173,5751;114,2473;175,1012;173,5751;111,8012
20;110,6465;137,7768;112,9053;;89,29825;90,34519;101,2156;92,18735;102,8436;102,758;97,09638;168,5185;85,84906;76,01573;;;;;;;;;;;;;;;;;;224,3819;108,8659;118,762;95,0098;185,5852;159,3763;192,169;153,939;122,3801;109,4895;123,0621;84,52485;80,21039;72,62458;109,8051;81,08365;136,5147;77,54706;117,3592;125,2404;101,0612;185,1441;100,3542;120,509;122,3118;182,1862;217,6166;122,3118;182,1862;217,6166;95,2381
21;95,17933;143,0282;113,5724;;91,91155;99,87531;102,4165;92,11823;87,31409;79,75775;104,0174;181,4815;101,8868;82,56881;;;;;;;;;;;;;;;;;;177,5767;114,0289;97,93189;101,0696;150,9348;143,9604;175,0882;153,24;128,2758;106,8302;117,5961;65,56806;86,78531;78,78049;118,5585;77,60873;122,1618;77,96635;127,3329;135,3568;88,72419;174,0576;119,2444;111,7764;114,2473;183,1984;183,9378;114,2473;183,1984;183,9378;106,6253
22;106,9111;156,5724;110,7853;;77,91295;107,6412;98,7585;87,89888;98,11939;93,65301;97,70182;164,8148;95,28302;93,05374;;;;;;;;;;;;;;;;;;188,5358;89,80831;110,2654;118,2702;174,1287;155,6402;205,8499;128,4191;126,6628;94,71034;114,3954;69,29501;79,84139;82,48994;124,6404;74,45896;131,2444;74,42112;143,2536;120,0709;94,02433;201,7738;110,9799;117,016;112,9032;179,1498;170,9845;112,9032;179,1498;170,9845;116,9772
23;99,33774;158,6594;108,7342;;77,79265;116,6162;100,3542;100,325;86,69742;88,28329;98,70067;175,9259;96,22642;78,63696;;;;;;;;;;;;;;;;;;214,9479;94,04175;103,9123;118,1372;165,7612;142,4648;183,113;162,1934;128,9885;93,91974;129,4639;64,14835;91,14612;76,23527;130,9396;89,76104;126,6794;72,67158;146,8497;122,627;99,06313;188,4701;96,81228;127,2455;115,5914;184,2105;238,342;115,5914;184,2105;238,342;104,5549
24;97,66542;155,4313;96,40373;;73,25096;106,1512;89,24998;93,12631;93,88377;91,53019;105,654;148,1481;87,73585;87,81127;;;;;;;;;;;;;;;;;;252,1033;113,9488;122,4343;108,7471;144,6945;165,6136;188,3995;151,1037;123,7548;114,4867;132,7746;54,54646;85,59763;75,02182;110,9021;80,188;128,3524;87,19249;146,9407;134,3742;97,9554;125,2772;104,4864;105,7884;135,7527;187,247;227,9793;135,7527;187,247;227,9793;118,0124
25;99,10152;142,2917;98,30891;;95,64555;116,6923;100,1574;91,24956;94,27572;77,6727;103,3308;166,6667;111,3208;89,7772;;;;;;;;;;;;;;;;;;233,9359;94,26899;109,5902;115,92;114,4897;153,1312;194,1038;174,6497;120,4934;127,7633;123,1099;59,47903;81,8215;82,99895;102,7889;82,15792;114,7634;83,51615;136,6206;133,4728;91,89971;113,082;106,2574;102,7944;138,4409;184,2105;261,658;138,4409;184,2105;261,658;96,27329
26;99,81231;149,6987;112,2107;;94,81472;113,3861;96,62894;80,45867;96,50482;106,7914;103,2368;148,1481;111,3208;97,64089;;;;;;;;;;;;;;;;;;257,3094;75,85778;116,024;118,4894;164,7691;173,6757;193,5445;158,5361;132,1194;102,4503;120,4419;61,36715;80,78045;94,48544;122,9477;72,96578;109,6029;84,80223;155,216;130,8661;92,36161;114,1907;110,3896;118,014;116,9355;197,3684;238,342;116,9355;197,3684;238,342;107,6605
27;86,3576;160,4749;105,9358;;93,14943;109,4216;97,06941;116,9765;93,89474;99,10841;105,6183;172,2222;132,0755;88,46658;;;;;;;;;;;;;;;;;;202,3137;88,52576;98,06312;121,002;164,8233;165,7418;144,6971;155,2715;119,7631;123,6519;126,5781;56,34168;77,28205;84,38853;102,2798;74,82296;113,6556;89,07366;140,9757;132,8556;94,36632;103,1042;112,1606;110,7784;123,6559;178,1377;259,0674;123,6559;178,1377;259,0674;129,3996
28;90,19879;156,4548;97,28069;;92,44231;101,2785;92,21113;86,52866;99,61325;95,74123;102,9328;159,2593;133,0189;87,15596;;;;;;;;;;;;;;;;;;184,6437;93,72454;94,21102;146,2691;198,6819;167,8093;170,1918;168,9216;124,3817;123,8034;129,4745;58,55467;78,28927;92,67525;128,5712;66,30815;128,0999;90,213;154,2248;130,4803;95,6678;136,3636;138,1346;106,2874;125;186,2348;360,1036;125;186,2348;360,1036;116,9772
29;88,58727;160,1404;122,3851;;98,73085;108,8864;91,82376;103,2294;102,5604;103,1693;100,0788;168,5185;109,434;83,87942;;;;;;;;;;;;;;;;;;259,6619;80,43796;104,7742;126,9193;173,7391;169,3473;184,0099;162,7301;121,2478;118,4318;128,5274;53,6569;77,70114;83,17188;106,518;81,6761;130,4594;87,62503;151,2262;132,2558;87,89461;125,2772;150,5313;121,507;141,129;199,3927;323,8342;141,129;199,3927;323,8342;109,7308
30;95,05695;155,2433;127,2037;;79,47407;114,9876;95,00899;110,9642;101,3254;104,6977;95,37293;211,1111;117,9245;96,33028;;;;;;;;;;;;;;;;;;230,8944;85,36175;97,74305;129,6493;164,5394;169,4718;187,5444;161,3714;135,9675;101,3747;139,4991;62,7002;80,55372;87,41035;134,8996;83,88251;135,8009;86,65244;152,4403;128,5074;89,93011;107,5388;161,157;113,024;153,2258;199,3927;269,4301;153,2258;199,3927;269,4301;118,0124
31;91,40932;163,9039;110,8267;;101,1227;104,7586;93,90119;81,78819;108,1448;95,93069;99,39136;185,1852;120,7547;79,94758;;;;;;;;;;;;;;;;;;254,6735;123,9962;123,6685;141,0084;176,4659;174,043;188,5658;186,2133;124,3575;129,321;135,5966;50,42517;77,18812;90,05556;115,8355;91,50039;116,0474;82,09493;155,0495;129,8024;89,05522;129,7118;195,9858;115,2695;130,3763;200,4049;240,9326;130,3763;200,4049;240,9326;136,646
32;70,40518;156,7246;123,8407;;89,38702;111,5119;80,74962;86,55593;124,864;94,60033;100,5121;166,6667;113,2075;73,3945;;;;;;;;;;;;;;;;;;229,8803;125,387;108,7806;130,3948;162,6744;170,7773;152,9379;175,7283;134,5347;108,8928;122,625;46,7926;82,76688;93,81992;138,1372;99,68202;108,1476;81,35547;171,638;145,0035;94,82633;106,4302;191,8536;100,7984;142,4731;209,5142;308,2902;142,4731;209,5142;308,2902;101,4493
33;64,40308;167,8353;92,43036;;90,46722;118,3821;74,0212;98,0757;116,8334;116,7285;99,57428;190,7407;107,5472;78,63696;;;;;;;;;;;;;;;;;;232,9333;146,2173;85,03928;137,2763;170,4718;177,0837;151,2127;174,6576;112,4501;118,5815;142,2788;49,79643;82,0551;80,26854;109,6374;113,9504;114,0646;83,51889;192,3474;126,8983;94,58557;129,7118;217,8276;100,0499;150,5376;202,4291;202,0725;150,5376;202,4291;202,0725;126,294
34;66,40208;184,2398;109,9384;;83,02168;122,7985;89,987;93,75382;130,718;97,14936;100,8044;168,5185;92,45283;95,67497;;;;;;;;;;;;;;;;;;182,4123;183,2972;80,68689;149,1975;208,4314;173,9963;201,6344;155,9496;129,9483;105,8715;141,2996;48,17088;86,42513;81,08333;106,8574;100,1807;115,1788;79,32009;189,8173;137,0334;94,86675;141,9069;241,4404;102,5449;142,4731;209,5142;235,7513;142,4731;209,5142;235,7513;127,3292
35;66,79561;170,9068;111,4982;;91,78816;132,1602;97,21676;90,9093;123,8084;125,2261;100,3665;198,1481;113,2075;95,67497;;;;;;;;;;;;;;;;;;249,8602;140,4368;103,1861;128,6761;158,2898;187,3591;174,0931;164,9004;129,8259;126,1441;148,6472;52,16501;80,15446;88,15499;116,7601;96,0327;119,801;79,72835;189,3083;139,2911;99,69442;133,0377;233,7662;116,7665;135,7527;185,2227;194,3005;135,7527;185,2227;194,3005;116,9772
36;75,43948;162,5752;128,1191;;94,98313;114,5744;89,30292;94,08524;152,2296;94,22108;98,19093;177,7778;71,69811;100,2621;;;;;;;;;;;;;;;;;;197,6214;209,8256;80,93168;138,7913;192,4407;199,7544;217,3553;143,6137;123,6415;110,7515;141,7308;55,18129;77,21193;86,04422;112,3077;106,9688;137,7442;76,28702;;135,1001;94,44979;161,8625;236,1275;93,06387;153,2258;213,5628;227,9793;153,2258;213,5628;227,9793;123,1884
37;78,32175;152,9602;129,2907;;92,62779;114,0616;84,51483;85,00483;149,2016;104,2731;98,57557;155,5556;88,67925;91,08781;;;;;;;;;;;;;;;;;;212,9748;240,9821;94,38176;130,852;227,5352;195,4597;194,0634;135,0792;118,6421;109,211;146,9407;55,69872;71,92379;91,38629;118,154;105,5259;127,1253;83,08849;;133,2068;102,6541;177,3836;243,8017;116,517;159,9462;213,5628;147,6684;159,9462;213,5628;147,6684;121,118
38;79,68235;166,0428;109,6867;;110,9981;118,0988;92,24257;92,74958;162,2947;104,9618;95,23962;188,8889;109,434;103,5387;;;;;;;;;;;;;;;;;;220,2973;238,851;101,649;140,333;232,0444;187,2882;159,487;154,8291;133,9678;116,4496;137,0003;58,18904;78,3394;92,09187;126,3577;87,63276;115,0345;88,24302;;136,8863;95,27162;154,102;231,405;99,0519;143,8172;201,417;222,7979;143,8172;201,417;222,7979;127,3292
39;79,51765;166,7557;121,0151;;106,0829;121,3259;92,70757;81,3838;178,9917;94,7809;95,01981;201,8519;115,0943;102,228;;;;;;;;;;;;;;;;;;204,4562;176,2258;85,73992;155,5029;231,7308;190,6857;169,2541;153,9233;130,9366;110,1313;145,4317;53,71107;80,54006;90,96837;97,83603;106,9743;108,1886;89,21929;;135,0557;97,05709;167,4058;262,6919;101,0479;141,129;203,4413;220,2073;141,129;203,4413;220,2073;137,6812
40;85,01399;165,2311;124,21;;110,9104;115,7102;98,48883;97,50119;188,19;103,2725;99,65386;192,5926;105,6604;89,7772;;;;;;;;;;;;;;;;;;238,4308;;83,28828;135,5541;175,9419;182,4402;206,5401;150,7163;123,5213;124,6641;129,9993;57,16339;71,52191;84,87599;112,5898;104,9626;111,9569;89,10877;;132,8923;90,87469;166,2971;252,6564;95,80838;151,8817;198,3806;173,5751;151,8817;198,3806;173,5751;122,1532