;vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);vehicle (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9);AM4113 (n=9)
-4;108,6731;85,7140865;92,16107;100,8956;93,89147;;;100,072;99,08386;92,53701;83,62989;;;;;98,00367;92,8152562;90,75454;107,4678;101,307;;;94,90542;96,80257;103,8786;100,8065;;;;
-3;97,10912;95,3628621;117,4048;99,74466;105,8757;;;100,9149;99,5325;100,7624;99,64413;;;;;98,11802;99,372825;91,86083;84,4444;100,5486;;;97,34147;100,4565;107,1095;94,35484;;;;
-2;84,63294;94,4190753;93,29439;106,653;97,33635;;;108,3393;102,341;96,50075;96,08541;;;;;106,7627;97,1095778;108,437;96,39301;107,3844;;;99,29233;101,133;102,0887;97,98387;;;;
-1;103,7055;124,118143;101,0617;92,20611;102,2052;;;97,72291;96,61883;104,8022;99,64413;;;;;94,18084;107,757108;109,3214;109,5309;98,60769;;;101,2511;100,1954;96,43795;108,0645;;;;
0;105,8794;100,385833;96,07805;100,5006;100,6913;;;92,95089;102,4238;105,3977;120,9964;;;;;102,9348;102,945233;99,62625;102,1639;92,1523;;;107,2097;101,4125;90,48524;98,79032;;;;
1;92,77409;135,366282;96,58035;112,7866;106,3629;;;80,70195;101,6188;102,1166;104,9822;;;;;116,9679;124,577359;99,11654;95,18408;99,74743;;;100,0085;100,387;101,3785;96,37097;;;;
2;102,5054;124,691261;114,6975;111,5302;103,3919;;;99,73806;104,9459;98,2974;112,0996;;;;;90,26178;86,8473861;123,4762;90,691;105,9116;;;99,09218;97,21189;90,75454;103,2258;;;;
3;107,8049;111,287594;107,0991;135,2136;97,39665;;;92,80903;105,2626;105,7779;122,7758;;;;;113,1626;94,1635568;114,7928;101,2528;96,00205;;;95,47796;95,90729;87,16077;96,77419;;;;
4;112,7858;129,982945;106,4621;117,0287;98,58417;;;104,5687;109,1608;96,18586;109,4306;;;;;103,4725;100,89915;107,3043;98,8989;101,1377;;;92,06772;94,59583;105,0258;113,7097;;;;
5;101,2026;129,197061;101,1539;138,7413;100,6858;;;97,34814;106,7537;98,77629;105,8719;;;;;111,9836;82,0116221;102,767;92,08506;107,7172;;;101,0036;92,5556;99,31954;106,0484;;;;
6;121,2105;127,969111;99,93268;140,5418;93,86873;;;86,9613;104,3625;98,32454;102,3132;;;;;99,24155;74,8188045;109,1518;109,8675;107,3644;;;90,73487;98,60166;97,02442;118,5484;;;;
7;114,633;130,281094;107,8113;109,3178;100,3485;;;86,28829;111,7693;96,59249;117,4377;;;;;107,7328;118,193382;109,7001;91,47381;91,6811;;;85,03875;104,7634;104,2063;118,1452;;;;
8;115,517;132,543013;103,1928;125,3751;92,65343;;;95,04758;107,5632;103,127;101,4235;;;;;90,52384;137,990185;117,9363;100,622;95,04704;;;89,14311;103,5993;101,0211;106,4516;;;;
9;108,8902;148,308001;116,5784;114,3524;105,2147;;;92,81238;114,0631;98,01007;108,5409;;;;;88,50035;95,0228623;97,58182;89,98592;93,26636;;;86,01047;101,2015;96,94292;101,6129;;;;
10;128,4972;160,172679;130,5747;151,5546;92,50002;;;93,40609;116,0997;97,9104;101,4235;;;;;97,89896;104,924598;91,32853;100,7465;95,67706;;;94,79668;99,84267;88,32932;104,8387;;;;
11;108,0461;154,104326;90,34867;145,1814;95,17526;;;106,6581;113,0676;96,704;114,7687;;;;;107,0938;125,001602;90,21085;93,42957;113,0488;;;106,299;85,95697;96,83638;103,629;;;;
12;114,0081;181,799135;105,3843;153,8506;109,9908;;;102,7837;120,4719;104,4946;109,4306;;;;;115,2744;102,822369;88,30164;126,2926;93,69976;;;104,1077;92,46758;92,96128;104,0323;;;;
13;115,1486;175,409073;109,0176;131,631;92,48706;;;101,403;127,8389;104,2605;96,97509;;;;;133,788;85,461164;118,7487;125,4107;102,2851;;;99,64806;84,74124;105,5889;100,8065;;;;
14;134,7424;163,009927;99,70298;145,3235;103,6964;;;106,471;128,6227;105,511;104,9822;;;;;105,5282;78,2725351;104,9715;98,53315;104,9397;;;117,4909;87,45334;110,6778;105,2419;;;;
15;117,9551;138,042303;105,6602;152,6506;102,1129;;;98,4758;127,2409;103,3375;123,6655;;;;;113,7433;86,5625046;111,438;101,0735;101,0274;;;101,1675;84,21578;103,0965;104,0323;;;;
16;103,9903;124,666237;112,4523;161,7916;94,15938;;;99,90002;119,7375;108,0941;98,75445;;;;;133,093;93,9013272;98,62593;109,8944;112,5709;;;106,9967;95,65778;105,4453;115,3226;;;;
17;111,7228;123,241722;103,1859;136,3191;100,6466;;;102,0045;120,1539;95,23157;118,3274;;;;;119,7096;75,817969;102,4256;90,66459;88,42737;;;100,8064;109,4568;103,4001;94,35484;;;;
18;114,1542;112,188312;124,0679;164,9574;102,1335;;;97,1979;118,2247;102,8237;137,9004;;;;;115,1555;76,5517002;90,39162;119,5502;118,7218;;;98,31723;94,71213;110,7404;98,3871;;;;
19;117,7354;117,548457;115,9489;175,0242;111,7165;;;95,9658;116,5912;102,1615;120,1068;;;;;123,1131;80,9548516;94,36173;121,9464;115,5639;;;110,239;95,06171;110,9053;91,12903;;;;
20;117,9556;112,231745;120,284;146,0131;100,4649;;;100,0653;111,7626;103,6546;112,9893;;;;;118,4248;86,2983126;92,89706;118,2135;118,0442;;;112,9407;97,22594;106,3811;95,56452;;;;
21;97,05045;109,469586;125,6883;176,9846;110,0653;;;109,6758;117,0192;110,8605;133,452;;;;;114,5521;96,9985319;96,40932;120,6084;106,9624;;;114,1284;94,40991;106,783;93,95161;;;;
22;91,43144;123,769194;122,9146;190,6825;99,09569;;;96,12497;119,1566;104,2815;147,6868;;;;;98,851;89,4036333;88,92782;117,3517;125,7948;;;112,7901;102,6625;103,735;100,8065;;;;
23;72,48269;145,570138;121,6248;175,6593;100,7884;;;106,3688;118,3495;106,6907;132,5623;;;;;104,8309;73,7546442;97,49879;120,9671;129,9377;;;115,8606;104,4921;113,8314;97,17742;;;;
24;86,96535;134,480278;121,8406;161,0906;110,5435;;;95,81164;114,8093;117,3335;125,4448;;;;;115,3774;81,4428591;90,61511;121,837;111,5168;;;102,9982;107,5193;108,9812;118,5484;;;;
25;89,34444;127,170729;138,3524;172,4722;112,5507;;;96,98175;119,3711;105,9161;133,452;;;;;113,8095;91,7121919;86,95135;125,2612;111,0168;;;117,9276;101,7658;109,8257;104,0323;;;;
26;90,2254;165,946184;103,5122;167,7678;108,9019;;;105,5489;114,9063;102,894;132,5623;;;;;107,9864;80,3235402;85,52943;131,7425;95,82564;;;121,3194;101,2612;111,332;103,2258;;;;
27;75,34487;150,993586;124,0459;168,6237;108,0614;;;104,2018;119,3535;103,6127;128,1139;;;;;94,47403;73,1957285;87,13509;145,5644;118,4674;;;109,2554;106,0666;109,7874;100,8065;;;;
28;83,24746;136,72122;108,4901;179,4925;101,5128;;;119,3891;121,1701;111,3008;130,7829;;;;;99,63832;83,6189511;79,85976;130,9944;110,3735;;;110,0024;105,6039;119,8715;126,2097;;;;
29;84,51731;163,103792;126,4859;166,6738;108,6982;;;109,6211;121,6132;105,2737;132,5623;;;;;99,5619;66,361158;85,21887;132,7899;104,9316;;;106,6464;112,435;115,3883;122,5806;;;;
30;83,5721;154,76395;132,799;172,8821;114,775;;;120,2442;114,0739;108,1708;134,3416;;;;;84,06736;76,9921877;94,32424;133,4555;106,3745;;;114,6466;118,434;112,5091;114,5161;;;;
31;83,84405;153,418946;131,4154;161,3599;112,5158;;;99,10134;119,6902;114,3577;138,79;;;;;100,3034;70,4131983;84,67221;117,5486;113,1401;;;102,7931;108,2583;124,3362;124,5968;;;;
32;98,05219;136,101722;130,9237;187,1211;102,8595;;;100,8953;114,2041;111,0416;144,1281;;;;;118,1559;72,0640998;85,65221;128,0438;112,569;;;106,3411;102,2768;110,1821;112,0968;;;;
33;102,35;140,863346;114,5053;165,9609;116,1839;;;104,1102;115,3064;103,7007;133,452;;;;;94,13952;79,6476712;92,851;114,6815;112,8757;;;114,3389;113,899;116,9177;123,7903;;;;
34;111,1704;135,535971;136,0748;162,9669;116,9448;;;103,9538;117,2755;105,4667;150,3559;;;;;102,3405;82,6466271;89,09493;114,9507;112,2257;;;110,7224;102,3774;106,5324;120,1613;;;;
35;122,9116;142,695705;137,5521;169,2564;107,9424;;;104,5168;116,634;108,9302;149,4662;;;;;107,3576;73,1637193;98,30329;119,6171;115,6946;;;107,7784;110,3015;111,4736;129,4355;;;;
36;139,292;149,764524;132,7334;162,2698;102,233;;;101,3818;116,7357;112,8592;141,4591;;;;;110,2737;75,4444523;97,11852;119,523;104,7046;;;102,4065;103,4834;123,9319;122,5806;;;;
37;134,9171;139,338347;124,5079;146,3947;114,6499;;;109,4636;118,7898;112,7445;153,0249;;;;;116,1007;69,2224787;92,95101;107,2348;113,865;;;97,59228;100,7184;109,3698;119,3548;;;;
38;132,4387;144,510394;124,5909;167,7272;112,4613;;;108,5661;119,5096;97,08947;130,7829;;;;;98,18027;63,7330076;107,7956;97,55162;110,3181;;;;113,3048;110,8145;121,7742;;;;
39;124,3352;152,997845;113,438;157,2818;114,5745;;;112,1707;118,1928;103,4293;135,2313;;;;;114,5793;67,1884543;110,885;119,1117;122,4172;;;;108,9409;111,1113;131,0484;;;;
40;134,4156;140,92556;114,3748;151,0125;108,1619;;;104,0549;;103,859;154,8043;;;;;98,66987;65,0212272;107,1471;123,678;118,034;;;;103,6897;111,7179;132,6613;;;;